Psys,Ffuel,Porosity,Dparticle,Alpha,Rflat,Tbed,Decay,Fstruct
236945.0,0.65525,0.411625,0.003646,30.105000000000004,1.979,767.25,0.0042145,1.321875
139835.0,0.89125,0.401875,0.00343,34.305,0.353,1484.85,0.0044945,1.157375
235775.0,0.78725,0.376875,0.0034939999999999,19.725,1.1829999999999998,747.75,0.0041725,1.934375
378368.75,0.7578125,0.36328125,0.0022725,43.03125,0.05625,1351.4375,0.007256875,0.34296875
382220.0,0.619,0.3475,0.001392,41.22,0.148,1447.8,0.00615,0.5965
158506.25,0.6896875,0.31453125,0.0030925,17.68125,1.09875,654.3125,0.006084375,1.34046875
363695.0,0.76575,0.272375,0.004446,18.285,1.549,1106.5500000000002,0.0038365,0.310375
358868.75,0.6340625,0.40234375,0.0031875,26.53125,0.71625,1487.9375,0.004080625,1.70359375
249815.0,0.84375,0.419875,0.00223,25.695,0.425,1020.75,0.0051315,1.657875
299345.0,0.70325,0.356875,0.004618,19.995,1.1510000000000002,776.3499999999999,0.0046625,0.646375
499610.0,0.8805000000000001,0.41075,0.002236,31.770000000000003,0.642,1462.1,0.006871,1.87575
261905.0,0.93975,0.474625,0.004058,40.155,1.707,643.75,0.0056145,1.202875
476990.0,0.9265,0.46125,0.00262,42.69,0.75,936.9,0.004365,0.64375
373445.0,0.67725,0.468375,0.00117,41.235,0.379,758.1500000000001,0.0030945,1.824125
345170.0,0.5315,0.36225,0.003148,34.53,0.178,1417.9,0.005933,0.64025
110195.0,0.88475,0.337625,0.002914,26.655,0.895,928.45,0.0031925,0.446875
192095.0,0.62225,0.379125,0.00183,23.835,1.963,798.45,0.0081765,0.830125
254056.25,0.8065625000000001,0.47140625,0.0032175,16.55625,0.00625,1499.3125,0.009111875,1.71890625
449495.0,0.90125,0.413375,0.004166,20.265,0.051,1396.4499999999998,0.0042565,0.284125
351410.0,0.7875000000000001,0.29625,0.00282,28.35,1.202,526.1,0.006591,0.75925
275750.0,0.5545,0.4982499999999999,0.00322,21.99,1.478,1152.6999999999998,0.009265,1.69375
479525.0,0.98975,0.446625,0.00263,23.775,0.633,856.95,0.0057125,1.360375
394310.0,0.8015,0.39525,0.002004,35.49,1.362,557.3,0.006661,0.92375
472310.0,0.9295,0.38925,0.002924,33.75,0.434,788.7,0.006745,1.32625
135545.0,0.74675,0.275125,0.0044779999999999,29.685,1.093,485.15,0.0039485,1.195875
369935.0,0.51175,0.292125,0.004242,29.925,0.169,489.05,0.0075185,0.887875
439745.0,0.6617500000000001,0.389875,0.00341,25.245,1.1869999999999998,1109.15,0.0058735,1.916875
449690.0,0.7505,0.40475,0.002604,39.09,1.602,1098.1,0.003553,1.69725
273215.0,0.80925,0.463625,0.00217,28.065,0.361,1336.65,0.0042705,0.949125
435893.75,0.6478125,0.32390625,0.0031175,23.49375,0.91375,1635.8125,0.008131875,1.28140625
193850.0,0.5025,0.44675,0.003684,25.05,1.39,1534.9,0.008439,1.08475
217250.0,0.7665,0.42025,0.004556,15.39,1.07,593.7,0.006283,1.91075
284330.0,0.9005000000000001,0.30575,0.001052,17.13,1.678,1027.9,0.008663,0.50725
